Name,Display Name,Description,Type,Required,Choices,Units,Default Value
site_longitude,Site: Longitude,"Longitude of the home address. Must be between -180 and 180. Use negative values for the western hemisphere. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-site'>HPXML Site</a>) is used.",Double,false,,deg,
weather_station_epw_filepath,Weather Station: EnergyPlus Weather (EPW) Filepath,Path of the EPW file. Either this or the Site: Zip Code input above must be provided.,String,false,,,
year_built,Building Construction: Year Built,The year the building was built.,Integer,false,,,
unit_multiplier,Building Construction: Unit Multiplier,"The number of similar dwelling units. EnergyPlus simulation results will be multiplied this value. If not provided, defaults to 1.",Integer,false,,,
geometry_unit_type,Geometry: Unit Type,"The type of dwelling unit. Use single-family attached for a dwelling unit with 1 or more stories, attached units to one or both sides, and no units above/below. Use apartment unit for a dwelling unit with 1 story, attached units to one, two, or three sides, and units above and/or below.",Choice,true,"['single-family detached', 'single-family attached', 'apartment unit', 'manufactured home']",,single-family detached
geometry_unit_left_wall_is_adiabatic,Geometry: Unit Left Wall Is Adiabatic,Presence of an adiabatic left wall.,Boolean,false,"['true', 'false']",,false
geometry_unit_right_wall_is_adiabatic,Geometry: Unit Right Wall Is Adiabatic,Presence of an adiabatic right wall.,Boolean,false,"['true', 'false']",,false
geometry_unit_front_wall_is_adiabatic,Geometry: Unit Front Wall Is Adiabatic,"Presence of an adiabatic front wall, for example, the unit is adjacent to a conditioned corridor.",Boolean,false,"['true', 'false']",,false
geometry_unit_back_wall_is_adiabatic,Geometry: Unit Back Wall Is Adiabatic,Presence of an adiabatic back wall.,Boolean,false,"['true', 'false']",,false
geometry_unit_num_floors_above_grade,Geometry: Unit Number of Floors Above Grade,The number of floors above grade in the unit. Attic type ConditionedAttic is included. Assumed to be 1 for apartment units.,Integer,true,,#,2
geometry_unit_cfa,Geometry: Unit Conditioned Floor Area,The total floor area of the unit's conditioned space (including any conditioned basement floor area).,Double,true,,ft^2,2000
geometry_unit_aspect_ratio,Geometry: Unit Aspect Ratio,"The ratio of front/back wall length to left/right wall length for the unit, excluding any protruding garage wall area.",Double,true,,Frac,2
geometry_unit_orientation,Geometry: Unit Orientation,"The unit's orientation is measured clockwise from north (e.g., North=0, East=90, South=180, West=270).",Double,true,,degrees,180
geometry_unit_num_bedrooms,Geometry: Unit Number of Bedrooms,The number of bedrooms in the unit.,Integer,true,,#,3
geometry_unit_num_bathrooms,Geometry: Unit Number of Bathrooms,"The number of bathrooms in the unit. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-building-construction'>HPXML Building Construction</a>) is used.",Integer,false,,#,
geometry_unit_num_occupants,Geometry: Unit Number of Occupants,"The number of occupants in the unit. If not provided, an *asset* calculation is performed assuming standard occupancy, in which various end use defaults (e.g., plug loads, appliances, and hot water usage) are calculated based on Number of Bedrooms and Conditioned Floor Area per ANSI/RESNET/ICC 301. If provided, an *operational* calculation is instead performed in which the end use defaults to reflect real-world data (where possible).",Double,false,,#,
geometry_building_num_units,Geometry: Building Number of Units,The number of units in the building. Required for single-family attached and apartment units.,Integer,false,,#,
geometry_average_ceiling_height,Geometry: Average Ceiling Height,Average distance from the floor to the ceiling.,Double,true,,ft,8
geometry_unit_height_above_grade,Geometry: Unit Height Above Grade,"Describes the above-grade height of apartment units on upper floors or homes above ambient or belly-and-wing foundations. It is defined as the height of the lowest conditioned floor above grade and is used to calculate the wind speed for the infiltration model. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-building-construction'>HPXML Building Construction</a>) is used.",Double,false,,ft,
geometry_garage_width,Geometry: Garage Width,The width of the garage. Enter zero for no garage. Only applies to single-family detached units.,Double,true,,ft,0
geometry_garage_depth,Geometry: Garage Depth,The depth of the garage. Only applies to single-family detached units.,Double,true,,ft,20
geometry_garage_protrusion,Geometry: Garage Protrusion,The fraction of the garage that is protruding from the conditioned space. Only applies to single-family detached units.,Double,true,,Frac,0
geometry_garage_position,Geometry: Garage Position,The position of the garage. Only applies to single-family detached units.,Choice,true,"['Right', 'Left']",,Right
geometry_foundation_type,Geometry: Foundation Type,The foundation type of the building. Foundation types ConditionedBasement and ConditionedCrawlspace are not allowed for apartment units.,Choice,true,"['SlabOnGrade', 'VentedCrawlspace', 'UnventedCrawlspace', 'ConditionedCrawlspace', 'UnconditionedBasement', 'ConditionedBasement', 'Ambient', 'AboveApartment', 'BellyAndWingWithSkirt', 'BellyAndWingNoSkirt']",,SlabOnGrade
geometry_foundation_height,Geometry: Foundation Height,"The height of the foundation (e.g., 3ft for crawlspace, 8ft for basement). Only applies to basements/crawlspaces.",Double,true,,ft,0
geometry_foundation_height_above_grade,Geometry: Foundation Height Above Grade,The depth above grade of the foundation wall. Only applies to basements/crawlspaces.,Double,true,,ft,0
geometry_rim_joist_height,Geometry: Rim Joist Height,The height of the rim joists. Only applies to basements/crawlspaces.,Double,false,,in,
geometry_attic_type,Geometry: Attic Type,The attic type of the building. Attic type ConditionedAttic is not allowed for apartment units.,Choice,true,"['FlatRoof', 'VentedAttic', 'UnventedAttic', 'ConditionedAttic', 'BelowApartment']",,VentedAttic
geometry_roof_type,Geometry: Roof Type,The roof type of the building. Ignored if the building has a flat roof.,Choice,true,"['gable', 'hip']",,gable
geometry_roof_pitch,Geometry: Roof Pitch,The roof pitch of the attic. Ignored if the building has a flat roof.,Choice,true,"['1:12', '2:12', '3:12', '4:12', '5:12', '6:12', '7:12', '8:12', '9:12', '10:12', '11:12', '12:12']",,6:12
geometry_eaves_depth,Geometry: Eaves Depth,The eaves depth of the roof.,Double,true,,ft,2
neighbor_front_distance,Neighbor: Front Distance,The distance between the unit and the neighboring building to the front (not including eaves). A value of zero indicates no neighbors. Used for shading.,Double,true,,ft,0
neighbor_back_distance,Neighbor: Back Distance,The distance between the unit and the neighboring building to the back (not including eaves). A value of zero indicates no neighbors. Used for shading.,Double,true,,ft,0
neighbor_left_distance,Neighbor: Left Distance,The distance between the unit and the neighboring building to the left (not including eaves). A value of zero indicates no neighbors. Used for shading.,Double,true,,ft,10
neighbor_right_distance,Neighbor: Right Distance,The distance between the unit and the neighboring building to the right (not including eaves). A value of zero indicates no neighbors. Used for shading.,Double,true,,ft,10
neighbor_front_height,Neighbor: Front Height,"The height of the neighboring building to the front. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-neighbor-buildings'>HPXML Neighbor Building</a>) is used.",Double,false,,ft,
neighbor_back_height,Neighbor: Back Height,"The height of the neighboring building to the back. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-neighbor-buildings'>HPXML Neighbor Building</a>) is used.",Double,false,,ft,
neighbor_left_height,Neighbor: Left Height,"The height of the neighboring building to the left. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-neighbor-buildings'>HPXML Neighbor Building</a>) is used.",Double,false,,ft,
neighbor_right_height,Neighbor: Right Height,"The height of the neighboring building to the right. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-neighbor-buildings'>HPXML Neighbor Building</a>) is used.",Double,false,,ft,
floor_over_foundation_assembly_r,Floor: Over Foundation Assembly R-value,Assembly R-value for the floor over the foundation. Ignored if the building has a slab-on-grade foundation.,Double,true,,h-ft^2-R/Btu,28.1
floor_over_garage_assembly_r,Floor: Over Garage Assembly R-value,Assembly R-value for the floor over the garage. Ignored unless the building has a garage under conditioned space.,Double,true,,h-ft^2-R/Btu,28.1
floor_type,Floor: Type,The type of floors.,Choice,true,"['WoodFrame', 'StructuralInsulatedPanel', 'SolidConcrete', 'SteelFrame']",,WoodFrame
foundation_wall_type,Foundation Wall: Type,"The material type of the foundation wall. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-foundation-walls'>HPXML Foundation Walls</a>) is used.",Choice,false,"['solid concrete', 'concrete block', 'concrete block foam core', 'concrete block perlite core', 'concrete block vermiculite core', 'concrete block solid core', 'double brick', 'wood']",,
foundation_wall_thickness,Foundation Wall: Thickness,"The thickness of the foundation wall. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-foundation-walls'>HPXML Foundation Walls</a>) is used.",Double,false,,in,
foundation_wall_insulation_r,Foundation Wall: Insulation Nominal R-value,Nominal R-value for the foundation wall insulation. Only applies to basements/crawlspaces.,Double,true,,h-ft^2-R/Btu,0
foundation_wall_insulation_location,Foundation Wall: Insulation Location,Whether the insulation is on the interior or exterior of the foundation wall. Only applies to basements/crawlspaces.,Choice,false,"['interior', 'exterior']",ft,exterior
foundation_wall_insulation_distance_to_top,Foundation Wall: Insulation Distance To Top,"The distance from the top of the foundation wall to the top of the foundation wall insulation. Only applies to basements/crawlspaces. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-foundation-walls'>HPXML Foundation Walls</a>) is used.",Double,false,,ft,
foundation_wall_insulation_distance_to_bottom,Foundation Wall: Insulation Distance To Bottom,"The distance from the top of the foundation wall to the bottom of the foundation wall insulation. Only applies to basements/crawlspaces. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-foundation-walls'>HPXML Foundation Walls</a>) is used.",Double,false,,ft,
foundation_wall_assembly_r,Foundation Wall: Assembly R-value,"Assembly R-value for the foundation walls. Only applies to basements/crawlspaces. If provided, overrides the previous foundation wall insulation inputs. If not provided, it is ignored.",Double,false,,h-ft^2-R/Btu,
rim_joist_assembly_r,Rim Joist: Assembly R-value,Assembly R-value for the rim joists. Only applies to basements/crawlspaces. Required if a rim joist height is provided.,Double,false,,h-ft^2-R/Btu,
slab_perimeter_insulation_r,Slab: Perimeter Insulation Nominal R-value,Nominal R-value of the vertical slab perimeter insulation. Applies to slab-on-grade foundations and basement/crawlspace floors.,Double,true,,h-ft^2-R/Btu,0
slab_perimeter_insulation_depth,Slab: Perimeter Insulation Depth,Depth from grade to bottom of vertical slab perimeter insulation. Applies to slab-on-grade foundations and basement/crawlspace floors.,Double,true,,ft,0
slab_exterior_horizontal_insulation_r,Slab: Exterior Horizontal Insulation Nominal R-value,Nominal R-value of the slab exterior horizontal insulation. Applies to slab-on-grade foundations and basement/crawlspace floors.,Double,false,,h-ft^2-R/Btu,
slab_exterior_horizontal_insulation_width,Slab: Exterior Horizontal Insulation Width,Width of the slab exterior horizontal insulation measured from the exterior surface of the vertical slab perimeter insulation. Applies to slab-on-grade foundations and basement/crawlspace floors.,Double,false,,ft,
slab_exterior_horizontal_insulation_depth_below_grade,Slab: Exterior Horizontal Insulation Depth Below Grade,Depth of the slab exterior horizontal insulation measured from the top surface of the slab exterior horizontal insulation. Applies to slab-on-grade foundations and basement/crawlspace floors.,Double,false,,ft,
slab_under_insulation_r,Slab: Under Slab Insulation Nominal R-value,Nominal R-value of the horizontal under slab insulation. Applies to slab-on-grade foundations and basement/crawlspace floors.,Double,true,,h-ft^2-R/Btu,0
slab_under_insulation_width,Slab: Under Slab Insulation Width,Width from slab edge inward of horizontal under-slab insulation. Enter 999 to specify that the under slab insulation spans the entire slab. Applies to slab-on-grade foundations and basement/crawlspace floors.,Double,true,,ft,0
slab_thickness,Slab: Thickness,"The thickness of the slab. Zero can be entered if there is a dirt floor instead of a slab. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-slabs'>HPXML Slabs</a>) is used.",Double,false,,in,
slab_carpet_fraction,Slab: Carpet Fraction,"Fraction of the slab floor area that is carpeted. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-slabs'>HPXML Slabs</a>) is used.",Double,false,,Frac,
slab_carpet_r,Slab: Carpet R-value,"R-value of the slab carpet. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-slabs'>HPXML Slabs</a>) is used.",Double,false,,h-ft^2-R/Btu,
ceiling_assembly_r,Ceiling: Assembly R-value,Assembly R-value for the ceiling (attic floor).,Double,true,,h-ft^2-R/Btu,31.6
roof_material_type,Roof: Material Type,"The material type of the roof. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-roofs'>HPXML Roofs</a>) is used.",Choice,false,"['asphalt or fiberglass shingles', 'concrete', 'cool roof', 'slate or tile shingles', 'expanded polystyrene sheathing', 'metal surfacing', 'plastic/rubber/synthetic sheeting', 'shingles', 'wood shingles or shakes']",,
roof_color,Roof: Color,"The color of the roof. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-roofs'>HPXML Roofs</a>) is used.",Choice,false,"['dark', 'light', 'medium', 'medium dark', 'reflective']",,
roof_assembly_r,Roof: Assembly R-value,Assembly R-value of the roof.,Double,true,,h-ft^2-R/Btu,2.3
radiant_barrier_attic_location,Attic: Radiant Barrier Location,The location of the radiant barrier in the attic.,Choice,false,"['none', 'Attic roof only', 'Attic roof and gable walls', 'Attic floor']",,
radiant_barrier_grade,Attic: Radiant Barrier Grade,"The grade of the radiant barrier in the attic. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-roofs'>HPXML Roofs</a>) is used.",Choice,false,"['1', '2', '3']",,
wall_type,Wall: Type,The type of walls.,Choice,true,"['WoodStud', 'ConcreteMasonryUnit', 'DoubleWoodStud', 'InsulatedConcreteForms', 'LogWall', 'StructuralInsulatedPanel', 'SolidConcrete', 'SteelFrame', 'Stone', 'StrawBale', 'StructuralBrick']",,WoodStud
wall_siding_type,Wall: Siding Type,"The siding type of the walls. Also applies to rim joists. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-walls'>HPXML Walls</a>) is used.",Choice,false,"['aluminum siding', 'asbestos siding', 'brick veneer', 'composite shingle siding', 'fiber cement siding', 'masonite siding', 'none', 'stucco', 'synthetic stucco', 'vinyl siding', 'wood siding']",,
wall_color,Wall: Color,"The color of the walls. Also applies to rim joists. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-walls'>HPXML Walls</a>) is used.",Choice,false,"['dark', 'light', 'medium', 'medium dark', 'reflective']",,
wall_assembly_r,Wall: Assembly R-value,Assembly R-value of the walls.,Double,true,,h-ft^2-R/Btu,11.9
window_front_wwr,Windows: Front Window-to-Wall Ratio,"The ratio of window area to wall area for the unit's front facade. Enter 0 if specifying Front Window Area instead. If the front wall is adiabatic, the value will be ignored.",Double,true,,Frac,0.18
window_back_wwr,Windows: Back Window-to-Wall Ratio,"The ratio of window area to wall area for the unit's back facade. Enter 0 if specifying Back Window Area instead. If the back wall is adiabatic, the value will be ignored.",Double,true,,Frac,0.18
window_left_wwr,Windows: Left Window-to-Wall Ratio,"The ratio of window area to wall area for the unit's left facade (when viewed from the front). Enter 0 if specifying Left Window Area instead. If the left wall is adiabatic, the value will be ignored.",Double,true,,Frac,0.18
window_right_wwr,Windows: Right Window-to-Wall Ratio,"The ratio of window area to wall area for the unit's right facade (when viewed from the front). Enter 0 if specifying Right Window Area instead. If the right wall is adiabatic, the value will be ignored.",Double,true,,Frac,0.18
window_area_front,Windows: Front Window Area,"The amount of window area on the unit's front facade. Enter 0 if specifying Front Window-to-Wall Ratio instead. If the front wall is adiabatic, the value will be ignored.",Double,true,,ft^2,0
window_area_back,Windows: Back Window Area,"The amount of window area on the unit's back facade. Enter 0 if specifying Back Window-to-Wall Ratio instead. If the back wall is adiabatic, the value will be ignored.",Double,true,,ft^2,0
window_area_left,Windows: Left Window Area,"The amount of window area on the unit's left facade (when viewed from the front). Enter 0 if specifying Left Window-to-Wall Ratio instead. If the left wall is adiabatic, the value will be ignored.",Double,true,,ft^2,0
window_area_right,Windows: Right Window Area,"The amount of window area on the unit's right facade (when viewed from the front). Enter 0 if specifying Right Window-to-Wall Ratio instead. If the right wall is adiabatic, the value will be ignored.",Double,true,,ft^2,0
window_aspect_ratio,Windows: Aspect Ratio,Ratio of window height to width.,Double,true,,Frac,1.333
window_fraction_operable,Windows: Fraction Operable,"Fraction of windows that are operable. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-windows'>HPXML Windows</a>) is used.",Double,false,,Frac,
window_natvent_availability,Windows: Natural Ventilation Availability,"For operable windows, the number of days/week that windows can be opened by occupants for natural ventilation. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-windows'>HPXML Windows</a>) is used.",Integer,false,,Days/week,
window_ufactor,Windows: U-Factor,Full-assembly NFRC U-factor.,Double,true,,Btu/hr-ft^2-R,0.37
window_shgc,Windows: SHGC,Full-assembly NFRC solar heat gain coefficient.,Double,true,,,0.3
window_interior_shading_type,Windows: Interior Shading Type,"Type of window interior shading. Summer/winter shading coefficients can be provided below instead. If neither is provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-interior-shading'>HPXML Interior Shading</a>) is used.",Choice,false,"['light curtains', 'light shades', 'light blinds', 'medium curtains', 'medium shades', 'medium blinds', 'dark curtains', 'dark shades', 'dark blinds', 'none']",,
window_interior_shading_winter,Windows: Winter Interior Shading Coefficient,"Interior shading coefficient for the winter season, which if provided overrides the shading type input. 1.0 indicates no reduction in solar gain, 0.85 indicates 15% reduction, etc. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-interior-shading'>HPXML Interior Shading</a>) is used.",Double,false,,Frac,
window_interior_shading_summer,Windows: Summer Interior Shading Coefficient,"Interior shading coefficient for the summer season, which if provided overrides the shading type input. 1.0 indicates no reduction in solar gain, 0.85 indicates 15% reduction, etc. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-interior-shading'>HPXML Interior Shading</a>) is used.",Double,false,,Frac,
window_exterior_shading_type,Windows: Exterior Shading Type,"Type of window exterior shading. Summer/winter shading coefficients can be provided below instead. If neither is provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-exterior-shading'>HPXML Exterior Shading</a>) is used.",Choice,false,"['solar film', 'solar screens', 'none']",,
